Name,Battery EV (kWh),Acceleration(sec),TopSpeed(km/h),Range(km),Efficiency(Wh/km),FastChargeSpeed(km/h),Drive,NumberofSeats,PriceinGermany(€),PriceinUK(£)
Toyota PROACE Verso L 50 kWh,45,12.1,130,180,250,240,Front Wheel Drive,7,59385,
SEAT Mii Electric,32.3,12.3,130,205,158,170,Front Wheel Drive,4,24650,
Renault Twingo Electric,21.3,12.6,135,130,164,,Rear Wheel Drive,4,24790,
Smart EQ forfour,16.7,12.7,130,95,176,,Rear Wheel Drive,4,19120,19795
Peugeot e-Traveller Standard 50 kWh,45,13.1,130,185,243,250,Front Wheel Drive,7,55900,49065
Peugeot e-Traveller Long 50 kWh,45,13.1,130,185,243,250,Front Wheel Drive,7,56690,49905
Toyota PROACE Verso M 75 kWh,68,13.1,130,270,252,290,Front Wheel Drive,7,64530,
Toyota PROACE Verso L 75 kWh,68,13.1,130,270,252,290,Front Wheel Drive,7,65385,
Citroen e-SpaceTourer M 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,57440,
Citroen e-SpaceTourer XL 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,58230,
Opel Zafira-e Life M 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,59800,
Opel Zafira-e Life L 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,60625,
Peugeot e-Traveller Standard 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,57440,
Peugeot e-Traveller Long 75 kWh,68,13.3,130,270,252,290,Front Wheel Drive,7,58230,
Nissan e-NV200 Evalia,36,14,123,165,218,170,Front Wheel Drive,7,43433,30255
Dacia Spring Electric,26.8,15,125,170,158,120,Front Wheel Drive,4,20490,
Renault Kangoo Maxi ZE 33,31,22.4,130,160,194,,Front Wheel Drive,5,,31680
